network,address,normalizedAddress,trackedStatus,inDeployments,inOpenZeppelin,hasCode,creator,creationTxHash,files,keys
arbitrum-sepolia,0x6Ec7b9508e131D08B9d680e1A857fb53215E9c50,0x6ec7b9508e131d08b9d680e1a857fb53215e9c50,deployments_only,true,false,true,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,0xa46f24acf5aac42585efb391ca0c11b126e7d643226b6d451f235cf6b7a92d9a,deployments/arbitrum-sepolia-oft-v2-spoke.json,contracts.myntisOFTSpoke
arbitrum-sepolia,0x89C6C4e7F952C1c07467E32Ea2fF0660f6d4C627,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,deployments_only,true,false,false,,,deployments/arbitrum-sepolia-oft-v2-spoke.json|deployments/deployment-base-sepolia-2026-02-03T19-30-41-174Z.json|deployments/deployment-base-sepolia-2026-02-07T20-30-22-290Z.json|deployments/deployment-base-sepolia-latest.json|deployments/emissions-optionb-1766817016180.json|deployments/ethereum-sepolia-oft-v2-spoke.json|deployments/ethereum-sepolia-spoke-1770381410089.json|deployments/ethereum-sepolia-spoke-latest.json|deployments/optimism-sepolia-oft-v2-spoke.json|deployments/spoke-distributor-optionb-1766817121658.json|deployments/spoke-distributor-optionb-latest.json|deployments/zk-distributor-optionb-1766817028733.json|deployments/zk-distributor-optionb-1767728267700.json,admin|deployer
base-mainnet,0x019cB2AA19465Ca1e140AbeADF13320414031C6B,0x019cb2aa19465ca1e140abeadf13320414031c6b,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,liquidStakingVault|liquidStakingVaultImplementation
base-mainnet,0x0314e1274b9860E77d90E894D784cD24EeCbE479,0x0314e1274b9860e77d90e894d784cd24eecbe479,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,myntis|myntisImplementation
base-mainnet,0x19559C2D4C7c50Bf3D8852b6ecfC0185d3E9796c,0x19559c2d4c7c50bf3d8852b6ecfc0185d3e9796c,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,groth16Verifier
base-mainnet,0x26A942e30505DF986c16fa9f1CbeEeAe9ad325B6,0x26a942e30505df986c16fa9f1cbeeeae9ad325b6,deployments_only,true,false,false,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json|deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,deployer
base-mainnet,0x38c7D759950625D99CE59507c63EE5bbb43E1128,0x38c7d759950625d99ce59507c63ee5bbb43e1128,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,globalSupplyRegistry
base-mainnet,0x3CBA95f31B61d9FaAC54D3A8A7fbb926737BB57d,0x3cba95f31b61d9faac54d3a8a7fbb926737bb57d,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T04-32-48-860Z.json|deployments/deployment-base-mainnet-latest.json,dualPoolStaking
base-mainnet,0x3dD196E73d712D708670B1B3cbbb06DA52CD9979,0x3dd196e73d712d708670b1b3cbbb06da52cd9979,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,dualPoolStakingImplementation
base-mainnet,0x47386e229d3D76962f339D5e93349724858F88Ac,0x47386e229d3d76962f339d5e93349724858f88ac,deployments_only,true,false,true,,,deployments/deployment-base-mainnet-2026-02-08T03-53-20-799Z.json,emissionsContract
